year,people_in_democracies,people_in_autocracies,no_regime_data
1800,0,760528683,221697207
1801,0,763301485,222274157
1802,0,766105179,222859786
1803,0,768939992,223454167
1804,0,773953375,221910183
1805,0,776851197,222522314
1806,0,779780941,223143450
1807,0,773267501,233249112
1808,0,776192121,233958478
1809,0,780098055,233728762
1810,0,784706827,234459785
1811,0,789570811,234993775
1812,0,794860893,235752995
1813,0,800800410,236530214
1814,0,806910028,237306907
1815,0,813288239,237988723
1816,0,819701395,238813667
1817,0,827935109,238000660
1818,0,834695010,238848826
1819,0,841197779,239848091
1820,0,847428775,241000100
1821,0,851490677,243956410
1822,0,859220380,243074065
1823,0,864078605,245408820
1824,0,869618433,247161630
1825,0,876440834,247736559
1826,0,882146609,249578824
1827,0,887931815,251446354
1828,0,893797520,253339562
1829,0,899207477,255245327
1830,0,911056728,250265150
1831,0,915647563,252052684
1832,0,919742298,253854034
1833,0,923336855,255669440
1834,0,926969625,257507466
1835,0,930641341,259368489
1836,0,934352737,261252898
1837,0,938104592,263161071
1838,0,942788753,264202352
1839,0,946667395,266019953
1840,0,951253240,267102564
1841,0,956788960,267216487
1842,0,960519856,269114060
1843,0,964220410,271022498
1844,0,968034335,272895691
1845,0,971866069,274830882
1846,0,975737559,276807865
1847,0,979668689,278808500
1848,0,983660906,280833188
1849,0,986956619,282767535
1850,0,989563717,284609268
1851,0,990982162,286334066
1852,0,991722976,287961304
1853,0,991795654,289489642
1854,0,991965378,291030369
1855,0,992233379,292583627
1856,0,992600922,294149575
1857,0,993069371,295728367
1858,0,993640166,297320171
1859,0,994758387,298727070
1860,0,995965825,300400756
1861,0,1023681648,275918998
1862,0,1025706738,277478753
1863,0,1028089899,279019656
1864,0,1030455720,280660641
1865,0,1032883471,282315835
1866,0,1035372401,283985406
1867,0,1086804792,236794810
1868,0,1106178325,221745294
1869,0,1109955962,222870917
1870,0,1114275496,224046949
1871,0,1119076167,225260714
1872,0,1124471610,226541310
1873,0,1130389617,227873042
1874,0,1137392659,228191823
1875,0,1143511084,229495374
1876,0,1149678226,230830570
1877,0,1165194691,222867340
1878,0,1174601659,221081292
1879,0,1181493852,222344257
1880,0,1188940616,223625628
1881,0,1196963091,224923212
1882,0,1206163815,225638656
1883,0,1215338480,226968701
1884,0,1229712846,223228231
1885,0,1243282064,220478187
1886,0,1252975640,221709445
1887,0,1262733532,223029585
1888,0,1272607717,224360214
1889,0,1283246376,224698245
1890,0,1294221718,224486862
1891,0,1307061466,222158794
1892,0,1319961770,219522979
1893,703920,1334081266,214720744
1894,717650,1347887015,211059983
1895,731648,1364741068,204501540
1896,745919,1374996051,204629580
1897,760468,1384328473,205825276
1898,775301,1393773453,207032751
1899,791494,1409088321,203023526
1900,809099,1425025944,199015175
1901,4583187,1432556283,200284432
1902,4664319,1447189025,198794921
1903,4745826,1459948746,199825584
1904,4828837,1474367746,199372513
1905,4913379,1487182079,200704362
1906,4999482,1500233012,201984736
1907,5087177,1513415834,203342426
1908,5176497,1526796918,204711798
1909,5269683,1539592942,206066261
1910,5366832,1551797856,207408028
1911,5468045,1565563556,206506077
1912,5573419,1577481016,206930476
1913,8151492,1585439237,208240872
1914,8288315,1622302653,183276118
1915,11489026,1629590242,184457703
1916,11667130,1644293569,181823831
1917,11848220,1656505854,181765440
1918,13215143,1700293799,151457930
1919,116129329,1612426816,149946757
1920,142128098,1604597794,146144674
1921,145758474,1628918087,133694894
1922,153914805,1558434792,212353263
1923,155407340,1571828613,214502867
1924,156906939,1585478698,216639812
1925,158433853,1599325248,218840158
1926,131781242,1641563853,221066679
1927,132860458,1656300747,223319736
1928,179915187,1625302717,225599686
1929,180929496,1640861195,227991745
1930,181992165,1656982610,230498365
1931,206769682,1649965213,233122204
1932,209932471,1661854509,239137906
1933,134177745,1756413111,242042799
1934,132063317,1777566616,244988162
1935,132967904,1795940632,247974642
1936,109060387,1839361043,251002910
1937,109724615,1858484755,254033773
1938,95923759,1892434074,257147440
1939,96591666,1910805211,260275036
1940,85998174,1939283878,264649169
1941,86674478,2121897307,101176606
1942,89433734,2136232669,102825120
1943,90217206,2151331711,104475702
1944,91011630,2166405776,106158766
1945,120276074,2146047212,107875048
1946,220784059,2062010023,109469311
1947,597341899,1742734714,71641834
1948,604079721,1786549857,42568847
1949,665799989,1751037072,43005791
1950,659298377,1782508528,45015398
1951,653141369,1832261325,45604502
1952,786036096,1745796950,46530844
1953,799565264,1781467329,47489055
1954,813682633,1790736575,75930756
1955,827931652,1828962517,77763403
1956,803262571,1906787120,79676422
1957,818621646,1946254344,81730433
1958,851583846,1969288214,83881561
1959,866524274,2006393253,86131540
1960,931243992,1988348459,88533479
1961,952981525,2013314429,90964408
1962,937274948,2084798918,93490247
1963,990494358,2097120557,97157680
1964,1003130945,2152532867,99888226
1965,1217959250,2003835830,102641415
1966,1207337317,2080638624,105382978
1967,1225052601,2129903981,108158027
1968,1244427932,2179739920,110973771
1969,1258199090,2236603344,113812950
1970,1289504959,2277285952,116596482
1971,1279899812,2430223935,48334655
1972,1291072077,2492798675,49452120
1973,1428236754,2430332645,50588638
1974,1460610654,2472160409,51760209
1975,1528295245,2477617317,52992680
1976,1491747165,2634117617,6682867
1977,1465238163,2734064716,6860073
1978,1492986233,2780252267,7040301
1979,1612335699,2736939231,7224822
1980,1604873372,2822871658,7414653
1981,1618681230,2889656459,7610684
1982,1654314226,2937613997,7814900
1983,1677735823,2998643603,8017267
1984,1711600055,3049407930,8211719
1985,1881295277,2966248290,8388111
1986,1931186256,3005060156,8556469
1987,2018809730,3008597377,8728573
1988,2255904179,2863227684,8764341
1989,2343162714,2867672282,8756609
1990,2554587314,2750618466,8910187
1991,2588201720,2798290311,19076307
1992,2704130532,2779498214,9033930
1993,2919651416,2651017201,7381801
1994,3097360886,2556910999,7601075
1995,3130010633,2607106725,7863108
1996,3215286673,2604506240,8104464
1997,3257499148,2644474608,8369429
1998,3303678847,2680210435,8583679
1999,3534837877,2530708545,8828594
2000,3704275993,2443480452,9184775
2001,3781029187,2449431359,9551376
2002,3837840640,2474921326,9919863
2003,3744614742,2650295834,10301874
2004,3647988943,2829449267,10708885
2005,3729700446,2830828106,11148220
2006,3745717908,2897237427,11622292
2007,3641858600,3086372754,12126136
2008,3953819473,2862758700,12647332
2009,3935016092,2969279287,13165442
2010,3940544514,3052061587,13763502
2011,4278024444,2813372000,4116536
2012,4320972813,2860547112,4215930
2013,4472296039,2799650820,4315861
2014,4293574530,3068032689,4416474
2015,4435239575,3015097278,4522143
2016,4441799159,3096468696,4633314
2017,4483016292,3142247262,4743310
2018,4483149700,3226315418,4851145
2019,4295045653,3495668746,4958316
2020,4287226969,3579068944,5070228
2021,4307390401,3626238772,5185868
2022,4315872284,3684608944,5305787
2023,4281058903,3789644191,5409702
2024,4052342202,4088512022,5495954
